# id,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,y
3,1,1,0,0,4,4,3,1,5,1,2,1
5,2,4,2,0,4,5,4,6,1,6,2,1
9,1,6,5,3,6,6,3,1,0,1,0,1
10,2,0,2,4,1,2,4,3,5,1,5,1
11,2,6,5,0,1,4,3,3,3,2,1,1
14,0,1,6,0,5,2,6,2,1,6,1,1
15,1,0,2,3,6,6,2,2,5,2,5,1
16,1,4,5,4,5,4,6,6,1,4,0,1
17,2,1,6,4,6,6,2,2,3,6,0,1
18,2,0,5,4,4,5,2,6,3,1,0,1
19,3,4,2,2,6,4,4,2,3,1,2,1
21,0,1,5,2,6,5,6,1,0,6,5,1
22,1,6,0,0,1,4,3,2,1,2,2,1
24,2,0,2,0,1,2,6,2,5,1,5,1
25,2,4,2,0,5,6,4,3,1,1,2,1
27,2,6,6,3,1,6,3,3,1,1,2,1
28,2,6,5,4,4,6,2,1,1,6,2,1
32,2,6,5,3,1,2,2,1,0,6,5,1
34,1,0,5,3,5,2,4,6,0,2,0,1
35,3,6,5,3,5,6,3,6,0,6,2,1
36,0,0,2,2,4,4,2,1,1,1,5,1
37,1,1,6,4,5,2,4,6,0,6,0,1
38,3,4,2,4,4,6,2,2,3,2,1,1
39,0,1,5,0,4,4,4,2,0,2,5,1
40,1,1,0,2,4,6,4,3,5,6,0,1
42,0,1,2,2,5,4,3,2,0,6,2,1
44,2,1,0,2,5,4,2,6,5,1,5,1
48,2,0,6,0,6,6,6,2,0,1,5,1
51,3,6,2,0,4,4,6,2,1,1,5,1
53,1,4,6,2,6,2,3,2,1,6,0,1
56,0,1,0,0,5,6,2,2,0,2,1,1
57,2,4,5,0,5,2,2,2,1,1,5,1
58,2,0,0,3,5,5,3,1,1,4,0,1
62,2,0,0,4,5,2,6,2,1,6,1,1
64,3,4,5,3,4,4,4,3,1,1,1,1
67,3,4,2,0,6,5,2,3,5,4,5,1
68,3,0,0,3,6,6,3,6,5,6,0,1
69,0,1,6,2,5,5,6,3,0,1,5,1
71,1,4,0,3,1,4,3,2,5,1,2,1
73,3,1,0,3,1,6,6,1,1,1,2,1
74,3,4,5,3,5,6,4,1,0,2,2,1
78,1,0,5,4,4,2,6,3,0,6,2,1
79,3,6,6,2,6,4,3,3,3,6,5,1
83,1,6,2,3,6,5,3,1,3,1,2,1
84,2,6,0,4,6,6,3,6,5,4,1,1
85,3,4,6,3,1,4,3,1,3,4,1,1
86,0,0,2,2,5,4,2,3,3,1,1,1
87,0,6,6,4,4,2,6,1,3,1,5,1
89,2,6,2,2,5,5,6,6,3,6,5,1
90,0,4,6,3,6,2,3,6,5,6,0,1
91,3,0,2,0,6,2,2,6,3,1,1,1
93,1,1,2,3,1,4,6,2,1,2,5,1
96,0,6,0,3,6,4,3,3,3,1,5,1
100,2,0,0,0,5,6,6,3,5,2,5,1
101,1,6,6,3,1,5,6,2,3,2,1,1
102,2,1,2,0,5,5,4,2,5,1,1,1
103,2,0,0,3,4,6,2,3,1,6,0,1
104,1,1,2,0,6,2,3,2,5,4,0,1
105,2,4,0,0,6,2,4,2,3,6,0,1
107,3,4,0,4,4,5,3,2,0,6,5,1
109,2,4,0,4,6,5,3,2,5,6,0,1
110,3,0,2,3,4,4,6,2,0,6,1,1
111,2,6,6,3,4,4,6,1,0,6,0,1
112,2,1,6,2,5,4,2,1,0,4,0,1
114,0,1,5,3,4,4,4,1,1,6,1,1
119,1,1,5,3,6,2,3,1,5,4,0,1
120,3,4,6,4,1,2,3,2,0,6,1,1
121,0,4,6,4,6,6,4,1,0,6,5,1
122,2,1,6,0,5,6,4,2,1,6,2,1
123,3,4,6,0,1,2,6,1,3,4,2,1
124,3,0,2,3,5,4,2,2,5,4,2,1
127,3,1,6,3,4,4,2,2,0,4,2,1
128,3,4,0,3,1,2,3,3,1,1,0,1
129,1,4,6,3,1,6,3,6,0,1,2,1
132,2,1,5,2,5,4,3,1,1,1,2,1
134,0,1,6,4,6,2,2,3,3,2,5,1
135,3,6,5,3,4,5,4,3,0,6,0,1
136,1,6,0,4,5,4,2,2,5,2,5,1
137,0,6,6,2,1,5,4,1,1,4,2,1
138,3,4,2,2,6,2,4,6,5,2,5,1
139,3,1,5,2,1,4,2,3,3,4,1,1
145,2,1,5,3,1,6,6,2,3,1,5,1
147,1,1,2,4,6,6,6,3,5,6,5,1
148,3,6,6,4,5,5,4,6,5,4,5,1
151,3,4,0,0,5,4,4,1,5,4,5,1
152,0,1,5,2,1,4,2,1,0,1,1,1
154,3,0,0,0,6,6,3,6,3,2,1,1
155,3,6,5,2,6,6,2,6,5,1,0,1
157,0,0,6,2,6,2,2,6,1,1,1,1
160,0,0,2,4,4,6,3,6,1,6,0,1
164,1,0,0,4,4,5,4,1,3,6,5,1
167,0,6,5,2,4,6,3,1,5,2,1,1
168,0,0,6,2,4,4,2,2,3,6,1,1
169,2,6,6,0,1,6,3,6,1,6,0,1
172,0,6,5,3,5,4,6,2,1,4,2,1
175,3,6,6,4,1,5,2,6,1,4,1,1
177,1,1,6,3,5,2,6,3,3,4,5,1
180,1,4,5,0,6,6,3,6,5,4,5,1
181,1,0,2,0,4,5,2,1,5,2,5,1
182,0,1,6,0,1,4,3,3,0,6,2,1
185,3,0,2,0,6,6,4,1,5,2,2,1
186,0,4,6,2,4,6,6,6,3,4,1,1
191,1,0,0,2,1,6,4,1,1,1,1,1
192,3,0,5,0,6,6,3,1,5,1,0,1
193,1,4,6,4,6,5,6,1,1,6,2,1
194,1,0,2,4,5,2,4,6,3,6,2,1
195,2,4,6,4,6,5,2,1,1,4,5,1
197,2,4,6,0,4,6,4,6,1,2,5,1
198,2,6,0,2,5,2,3,3,5,2,1,1
199,1,0,5,3,6,5,6,6,5,1,2,1
204,0,6,2,3,6,4,6,6,1,1,0,1
205,0,1,6,3,5,2,4,3,3,4,5,1
206,2,6,6,3,6,5,2,3,0,1,1,1
207,2,6,2,0,4,6,6,2,0,4,1,1
209,1,0,6,3,4,6,6,1,5,6,0,1
211,2,4,0,0,5,4,6,1,0,4,5,1
212,3,1,2,4,5,6,3,3,0,1,1,1
213,3,4,5,3,5,6,3,1,5,6,2,1
214,0,0,0,2,1,6,6,2,1,2,1,1
218,0,6,2,2,1,2,6,1,5,2,1,1
219,2,1,0,3,5,6,4,6,3,4,1,1
220,3,4,5,2,6,5,2,3,5,2,1,1
221,3,1,5,2,4,4,4,1,5,1,1,1
222,0,6,6,3,4,4,3,6,1,1,1,1
223,1,4,6,4,1,6,2,6,0,4,5,1
226,3,1,0,4,4,6,2,3,5,2,0,1
228,3,0,6,2,5,5,6,6,0,4,1,1
233,2,0,0,3,6,5,2,3,3,1,2,1
235,3,0,5,0,5,5,4,2,5,4,1,1
236,3,1,5,2,1,5,4,1,3,6,2,1
237,1,1,5,0,1,2,4,6,1,4,2,1
239,3,0,6,0,6,2,6,1,1,6,0,1
240,2,0,0,4,6,6,4,2,1,6,1,1
246,0,0,2,3,5,6,2,3,3,2,0,1
250,2,6,0,2,6,6,6,3,1,1,2,1
251,2,6,0,3,6,5,2,3,1,2,2,1
254,0,1,0,4,5,2,2,2,1,6,2,1
257,3,1,2,0,5,5,3,3,5,6,2,1
259,3,6,0,4,1,2,4,2,3,2,0,1
260,1,4,0,4,4,6,6,1,1,1,0,1
261,2,4,6,3,6,4,2,1,5,1,0,1
262,3,4,2,4,6,4,6,2,0,1,0,1
263,1,0,2,2,6,4,2,6,3,1,5,1
264,0,1,5,4,6,5,3,1,3,1,0,1
265,1,0,2,4,6,6,2,3,1,1,5,1
266,3,4,5,0,4,5,6,3,5,4,5,1
267,1,4,0,3,5,2,2,2,0,4,1,1
269,2,4,6,0,5,6,6,3,5,1,2,1
270,2,1,2,0,4,4,4,2,3,2,0,1
273,3,4,6,2,6,5,4,6,0,4,5,1
274,1,0,5,3,4,6,4,6,5,4,0,1
275,2,0,0,4,4,6,4,2,0,6,0,1
281,0,6,5,3,5,6,3,3,3,2,0,1
282,2,1,6,4,4,6,4,2,3,4,1,1
285,1,1,6,2,6,6,2,2,3,6,2,1
287,2,6,2,3,4,4,4,1,1,6,2,1
288,3,6,5,3,5,6,3,2,1,1,1,1
290,1,1,6,3,1,4,3,3,1,6,0,1
292,0,0,6,3,5,5,4,2,5,4,1,1
295,3,6,2,4,6,4,2,1,5,6,5,1
296,2,4,5,3,1,6,3,1,3,6,0,1
297,2,4,0,2,6,2,4,3,1,4,5,1
298,1,4,0,2,6,6,3,6,1,4,2,1
299,1,4,6,4,1,5,2,6,3,1,0,1
301,0,0,5,3,5,4,4,1,1,4,2,1
302,3,1,5,0,4,5,6,3,1,6,1,1
303,1,1,5,4,4,6,2,2,5,1,5,1
305,1,0,6,0,4,6,3,3,3,6,2,1
306,0,6,2,3,6,4,4,6,1,4,1,1
309,1,0,2,0,5,2,6,3,3,1,0,1
310,1,4,0,3,1,2,6,3,5,6,5,1
311,2,6,0,3,5,5,4,1,5,4,1,1
313,1,0,5,3,4,2,4,2,0,6,1,1
315,1,1,6,3,4,6,2,1,0,4,1,1
316,3,0,0,3,5,2,6,6,1,4,2,1
317,3,6,5,4,4,6,4,3,1,2,0,1
321,3,6,2,2,1,5,6,1,1,4,1,1
322,3,0,5,2,4,6,4,1,0,6,5,1
324,0,0,6,4,1,5,2,1,3,6,2,1
328,2,6,6,2,6,2,6,3,3,4,2,1
331,1,1,0,0,1,2,3,6,5,1,1,1
339,0,0,6,3,6,5,2,2,5,4,0,1
342,2,1,6,2,4,2,2,2,3,6,1,1
343,2,6,0,4,5,2,6,1,5,6,5,1
345,2,1,2,2,5,2,6,6,5,4,0,1
347,3,4,0,2,5,5,3,6,3,6,1,1
348,3,6,0,4,4,5,3,2,0,2,0,1
353,0,6,2,3,4,6,3,1,5,1,0,1
358,0,0,5,2,4,6,2,2,3,1,0,1
362,0,6,2,2,5,4,2,3,1,4,1,1
363,0,0,6,2,5,6,4,6,0,2,2,1
365,2,4,6,2,5,6,3,3,3,2,1,1
367,2,0,6,2,6,2,3,1,5,6,5,1
368,3,6,2,4,4,2,4,1,0,2,2,1
369,1,0,6,4,5,6,4,3,3,1,2,1
